### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
### Sampling for ensemble average ##################
#   ista = 2000                                    #
#   nperiod = 500                                  #
#   nshift = 1                                     #
#   nsample= (nrec-ista-nperiod)/nshift+1 = 7502   #
####################################################
#       [1]t              [2]Re[u]         [3]Im[u]     [4]Re[du/dt]     [5]Im[du/dt]         [6]Re[f]         [7]Im[f]   [8]Re[Omega*u]   [9]Im[Omega*u]   [10]Re[s]        [11]Im[s]        [12]Re[r]        [13]Im[r]        
    13.20000        0.1820359E-002  -0.3132144E-002  -0.1997458E-004  -0.1414602E-003  -0.2384405E-004  -0.1120909E-003   0.7405559E-005   0.5830856E-005    0.000000         0.000000         0.000000         0.000000     
    13.30000        0.1818320E-002  -0.3146464E-002  -0.2080547E-004  -0.1449631E-003  -0.2467392E-004  -0.1154615E-003   0.7443193E-005   0.5830822E-005    0.000000         0.000000         0.000000         0.000000     
    13.40000        0.1816197E-002  -0.3161141E-002  -0.2166572E-004  -0.1485885E-003  -0.2553349E-004  -0.1189552E-003   0.7481776E-005   0.5830700E-005    0.000000         0.000000         0.000000         0.000000     
    13.50000        0.1813986E-002  -0.3176186E-002  -0.2255629E-004  -0.1523407E-003  -0.2642374E-004  -0.1225768E-003   0.7521341E-005   0.5830487E-005    0.000000         0.000000         0.000000         0.000000     
    13.60000        0.1811685E-002  -0.3191613E-002  -0.2347814E-004  -0.1562245E-003  -0.2734565E-004  -0.1263310E-003   0.7561922E-005   0.5830179E-005    0.000000         0.000000         0.000000         0.000000     
    13.70000        0.1809289E-002  -0.3207436E-002  -0.2443228E-004  -0.1602447E-003  -0.2830023E-004  -0.1302226E-003   0.7603556E-005   0.5829774E-005    0.000000         0.000000         0.000000         0.000000     
    13.80000        0.1806797E-002  -0.3223667E-002  -0.2541972E-004  -0.1644062E-003  -0.2928848E-004  -0.1342567E-003   0.7646278E-005   0.5829268E-005    0.000000         0.000000         0.000000         0.000000     
    13.90000        0.1804204E-002  -0.3240322E-002  -0.2644147E-004  -0.1687141E-003  -0.3031145E-004  -0.1384384E-003   0.7690128E-005   0.5828658E-005    0.000000         0.000000         0.000000         0.000000     
    14.00000        0.1801508E-002  -0.3257415E-002  -0.2749858E-004  -0.1731736E-003  -0.3137018E-004  -0.1427730E-003   0.7735145E-005   0.5827939E-005    0.000000         0.000000         0.000000         0.000000     
    14.10000        0.1798703E-002  -0.3274962E-002  -0.2859210E-004  -0.1777900E-003  -0.3246571E-004  -0.1472660E-003   0.7781371E-005   0.5827109E-005    0.000000         0.000000         0.000000         0.000000     
    14.20000        0.1795788E-002  -0.3292978E-002  -0.2972308E-004  -0.1825688E-003  -0.3359911E-004  -0.1519228E-003   0.7828846E-005   0.5826164E-005    0.000000         0.000000         0.000000         0.000000     
    14.30000        0.1792758E-002  -0.3311481E-002  -0.3089259E-004  -0.1875156E-003  -0.3477146E-004  -0.1567493E-003   0.7877617E-005   0.5825099E-005    0.000000         0.000000         0.000000         0.000000     
    14.40000        0.1789608E-002  -0.3330487E-002  -0.3210170E-004  -0.1926362E-003  -0.3598383E-004  -0.1617512E-003   0.7927727E-005   0.5823911E-005    0.000000         0.000000         0.000000         0.000000     
    14.50000        0.1786336E-002  -0.3350014E-002  -0.3335150E-004  -0.1979364E-003  -0.3723730E-004  -0.1669345E-003   0.7979224E-005   0.5822597E-005    0.000000         0.000000         0.000000         0.000000     
    14.60000        0.1782936E-002  -0.3370081E-002  -0.3464307E-004  -0.2034222E-003  -0.3853294E-004  -0.1723053E-003   0.8032157E-005   0.5821152E-005    0.000000         0.000000         0.000000         0.000000     
    14.70000        0.1779406E-002  -0.3390705E-002  -0.3597749E-004  -0.2090997E-003  -0.3987184E-004  -0.1778697E-003   0.8086575E-005   0.5819572E-005    0.000000         0.000000         0.000000         0.000000     
    14.80000        0.1775739E-002  -0.3411907E-002  -0.3735585E-004  -0.2149752E-003  -0.4125506E-004  -0.1836341E-003   0.8142531E-005   0.5817852E-005    0.000000         0.000000         0.000000         0.000000     
    14.90000        0.1771933E-002  -0.3433707E-002  -0.3877920E-004  -0.2210549E-003  -0.4268367E-004  -0.1896049E-003   0.8200078E-005   0.5815990E-005    0.000000         0.000000         0.000000         0.000000     
    15.00000        0.1767982E-002  -0.3456125E-002  -0.4024864E-004  -0.2273454E-003  -0.4415873E-004  -0.1957887E-003   0.8259270E-005   0.5813981E-005    0.000000         0.000000         0.000000         0.000000     
    15.10000        0.1763882E-002  -0.3479183E-002  -0.4176521E-004  -0.2338532E-003  -0.4568128E-004  -0.2021920E-003   0.8320165E-005   0.5811820E-005    0.000000         0.000000         0.000000         0.000000     
    15.20000        0.1759627E-002  -0.3502903E-002  -0.4332997E-004  -0.2405850E-003  -0.4725233E-004  -0.2088216E-003   0.8382822E-005   0.5809504E-005    0.000000         0.000000         0.000000         0.000000     
    15.30000        0.1755214E-002  -0.3527308E-002  -0.4494394E-004  -0.2475475E-003  -0.4887291E-004  -0.2156844E-003   0.8447301E-005   0.5807027E-005    0.000000         0.000000         0.000000         0.000000     
    15.40000        0.1750637E-002  -0.3552421E-002  -0.4660814E-004  -0.2547475E-003  -0.5054399E-004  -0.2227872E-003   0.8513663E-005   0.5804387E-005    0.000000         0.000000         0.000000         0.000000     
    15.50000        0.1745891E-002  -0.3578265E-002  -0.4832357E-004  -0.2621919E-003  -0.5226654E-004  -0.2301370E-003   0.8581973E-005   0.5801578E-005    0.000000         0.000000         0.000000         0.000000     
    15.60000        0.1740971E-002  -0.3604867E-002  -0.5009120E-004  -0.2698878E-003  -0.5404148E-004  -0.2377408E-003   0.8652296E-005   0.5798596E-005    0.000000         0.000000         0.000000         0.000000     
    15.70000        0.1735871E-002  -0.3632252E-002  -0.5191199E-004  -0.2778421E-003  -0.5586973E-004  -0.2456057E-003   0.8724700E-005   0.5795437E-005    0.000000         0.000000         0.000000         0.000000     
    15.80000        0.1730586E-002  -0.3660445E-002  -0.5378684E-004  -0.2860619E-003  -0.5775214E-004  -0.2537389E-003   0.8799256E-005   0.5792096E-005    0.000000         0.000000         0.000000         0.000000     
    15.90000        0.1725112E-002  -0.3689473E-002  -0.5571665E-004  -0.2945545E-003  -0.5968956E-004  -0.2621475E-003   0.8876032E-005   0.5788570E-005    0.000000         0.000000         0.000000         0.000000     
    16.00000        0.1719441E-002  -0.3719365E-002  -0.5770230E-004  -0.3033270E-003  -0.6168277E-004  -0.2708387E-003   0.8955104E-005   0.5784855E-005    0.000000         0.000000         0.000000         0.000000     
    16.10000        0.1713569E-002  -0.3750148E-002  -0.5974460E-004  -0.3123865E-003  -0.6373254E-004  -0.2798198E-003   0.9036546E-005   0.5780945E-005    0.000000         0.000000         0.000000         0.000000     
    16.20000        0.1707490E-002  -0.3781852E-002  -0.6184435E-004  -0.3217403E-003  -0.6583958E-004  -0.2890980E-003   0.9120436E-005   0.5776837E-005    0.000000         0.000000         0.000000         0.000000     
    16.30000        0.1701198E-002  -0.3814506E-002  -0.6400231E-004  -0.3313956E-003  -0.6800455E-004  -0.2986804E-003   0.9206851E-005   0.5772528E-005    0.000000         0.000000         0.000000         0.000000     
    16.40000        0.1694688E-002  -0.3848141E-002  -0.6621922E-004  -0.3413597E-003  -0.7022809E-004  -0.3085744E-003   0.9295872E-005   0.5768012E-005    0.000000         0.000000         0.000000         0.000000     
    16.50000        0.1687953E-002  -0.3882789E-002  -0.6849578E-004  -0.3516398E-003  -0.7251079E-004  -0.3187870E-003   0.9387583E-005   0.5763286E-005    0.000000         0.000000         0.000000         0.000000     
    16.60000        0.1680987E-002  -0.3918480E-002  -0.7083264E-004  -0.3622431E-003  -0.7485319E-004  -0.3293254E-003   0.9482068E-005   0.5758346E-005    0.000000         0.000000         0.000000         0.000000     
    16.70000        0.1673784E-002  -0.3955248E-002  -0.7323044E-004  -0.3731767E-003  -0.7725579E-004  -0.3401968E-003   0.9579414E-005   0.5753189E-005    0.000000         0.000000         0.000000         0.000000     
    16.80000        0.1666339E-002  -0.3993127E-002  -0.7568979E-004  -0.3844478E-003  -0.7971906E-004  -0.3514081E-003   0.9679707E-005   0.5747811E-005    0.000000         0.000000         0.000000         0.000000     
    16.90000        0.1658644E-002  -0.4032149E-002  -0.7821127E-004  -0.3960635E-003  -0.8224342E-004  -0.3629662E-003   0.9783039E-005   0.5742208E-005    0.000000         0.000000         0.000000         0.000000     
    17.00000        0.1650694E-002  -0.4072351E-002  -0.8079544E-004  -0.4080308E-003  -0.8482927E-004  -0.3748783E-003   0.9889502E-005   0.5736378E-005    0.000000         0.000000         0.000000         0.000000     
    17.10000        0.1642483E-002  -0.4113767E-002  -0.8344286E-004  -0.4203567E-003  -0.8747698E-004  -0.3871509E-003   0.9999189E-005   0.5730316E-005    0.000000         0.000000         0.000000         0.000000     
    17.20000        0.1634004E-002  -0.4156435E-002  -0.8615407E-004  -0.4330480E-003  -0.9018689E-004  -0.3997908E-003   0.1011220E-004   0.5724019E-005    0.000000         0.000000         0.000000         0.000000     
    17.30000        0.1625250E-002  -0.4200390E-002  -0.8892962E-004  -0.4461117E-003  -0.9295935E-004  -0.4128047E-003   0.1022862E-004   0.5717485E-005    0.000000         0.000000         0.000000         0.000000     
    17.40000        0.1616215E-002  -0.4245670E-002  -0.9177004E-004  -0.4595545E-003  -0.9579467E-004  -0.4261991E-003   0.1034856E-004   0.5710711E-005    0.000000         0.000000         0.000000         0.000000     
    17.50000        0.1606894E-002  -0.4292313E-002  -0.9467593E-004  -0.4733830E-003  -0.9869320E-004  -0.4399804E-003   0.1047212E-004   0.5703693E-005    0.000000         0.000000         0.000000         0.000000     
    17.60000        0.1597278E-002  -0.4340359E-002  -0.9764788E-004  -0.4876039E-003  -0.1016553E-003  -0.4541548E-003   0.1059940E-004   0.5696430E-005    0.000000         0.000000         0.000000         0.000000     
    17.70000        0.1587362E-002  -0.4389847E-002  -0.1006865E-003  -0.5022237E-003  -0.1046813E-003  -0.4687285E-003   0.1073050E-004   0.5688917E-005    0.000000         0.000000         0.000000         0.000000     
    17.80000        0.1577139E-002  -0.4440818E-002  -0.1037926E-003  -0.5172488E-003  -0.1077716E-003  -0.4837076E-003   0.1086553E-004   0.5681153E-005    0.000000         0.000000         0.000000         0.000000     
    17.90000        0.1566601E-002  -0.4493311E-002  -0.1069669E-003  -0.5326856E-003  -0.1109268E-003  -0.4990980E-003   0.1100460E-004   0.5673135E-005    0.000000         0.000000         0.000000         0.000000     
    18.00000        0.1555743E-002  -0.4547369E-002  -0.1102103E-003  -0.5485403E-003  -0.1141473E-003  -0.5149055E-003   0.1114782E-004   0.5664861E-005    0.000000         0.000000         0.000000         0.000000     
    18.10000        0.1544557E-002  -0.4603033E-002  -0.1135237E-003  -0.5648191E-003  -0.1174338E-003  -0.5311358E-003   0.1129530E-004   0.5656328E-005    0.000000         0.000000         0.000000         0.000000     
    18.20000        0.1533036E-002  -0.4660347E-002  -0.1169082E-003  -0.5815282E-003  -0.1207871E-003  -0.5477946E-003   0.1144714E-004   0.5647533E-005    0.000000         0.000000         0.000000         0.000000     
    18.30000        0.1521173E-002  -0.4719353E-002  -0.1203652E-003  -0.5986736E-003  -0.1242079E-003  -0.5648872E-003   0.1160348E-004   0.5638473E-005    0.000000         0.000000         0.000000         0.000000     
    18.40000        0.1508960E-002  -0.4780096E-002  -0.1238959E-003  -0.6162614E-003  -0.1276974E-003  -0.5824190E-003   0.1176441E-004   0.5629146E-005    0.000000         0.000000         0.000000         0.000000     
    18.50000        0.1496391E-002  -0.4842620E-002  -0.1275021E-003  -0.6342975E-003  -0.1312567E-003  -0.6003954E-003   0.1193006E-004   0.5619549E-005    0.000000         0.000000         0.000000         0.000000     
    18.60000        0.1483457E-002  -0.4906971E-002  -0.1311856E-003  -0.6527879E-003  -0.1348872E-003  -0.6188216E-003   0.1210055E-004   0.5609679E-005    0.000000         0.000000         0.000000         0.000000     
    18.70000        0.1470151E-002  -0.4973193E-002  -0.1349484E-003  -0.6717386E-003  -0.1385904E-003  -0.6377026E-003   0.1227600E-004   0.5599531E-005    0.000000         0.000000         0.000000         0.000000     
    18.80000        0.1456465E-002  -0.5041334E-002  -0.1387928E-003  -0.6911555E-003  -0.1423683E-003  -0.6570437E-003   0.1245653E-004   0.5589103E-005    0.000000         0.000000         0.000000         0.000000     
    18.90000        0.1442390E-002  -0.5111440E-002  -0.1427215E-003  -0.7110445E-003  -0.1462230E-003  -0.6768499E-003   0.1264226E-004   0.5578390E-005    0.000000         0.000000         0.000000         0.000000     
    19.00000        0.1427918E-002  -0.5183559E-002  -0.1467373E-003  -0.7314116E-003  -0.1501567E-003  -0.6971261E-003   0.1283332E-004   0.5567387E-005    0.000000         0.000000         0.000000         0.000000     
    19.10000        0.1413039E-002  -0.5257739E-002  -0.1508435E-003  -0.7522629E-003  -0.1541723E-003  -0.7178774E-003   0.1302984E-004   0.5556089E-005    0.000000         0.000000         0.000000         0.000000     
    19.20000        0.1397746E-002  -0.5334028E-002  -0.1550436E-003  -0.7736045E-003  -0.1582728E-003  -0.7391088E-003   0.1323195E-004   0.5544489E-005    0.000000         0.000000         0.000000         0.000000     
    19.30000        0.1382027E-002  -0.5412476E-002  -0.1593418E-003  -0.7954426E-003  -0.1624615E-003  -0.7608254E-003   0.1343977E-004   0.5532582E-005    0.000000         0.000000         0.000000         0.000000     
    19.40000        0.1365874E-002  -0.5493133E-002  -0.1637423E-003  -0.8177835E-003  -0.1667423E-003  -0.7830323E-003   0.1365344E-004   0.5520360E-005    0.000000         0.000000         0.000000         0.000000     
    19.50000        0.1349275E-002  -0.5576050E-002  -0.1682498E-003  -0.8406336E-003  -0.1711192E-003  -0.8057346E-003   0.1387310E-004   0.5507813E-005    0.000000         0.000000         0.000000         0.000000     
    19.60000        0.1332220E-002  -0.5661277E-002  -0.1728698E-003  -0.8639995E-003  -0.1755969E-003  -0.8289375E-003   0.1409887E-004   0.5494933E-005    0.000000         0.000000         0.000000         0.000000     
    19.70000        0.1314697E-002  -0.5748867E-002  -0.1776077E-003  -0.8878880E-003  -0.1801804E-003  -0.8526463E-003   0.1433090E-004   0.5481709E-005    0.000000         0.000000         0.000000         0.000000     
    19.80000        0.1296695E-002  -0.5838872E-002  -0.1824697E-003  -0.9123059E-003  -0.1848751E-003  -0.8768665E-003   0.1456933E-004   0.5468128E-005    0.000000         0.000000         0.000000         0.000000     
    19.90000        0.1278199E-002  -0.5931346E-002  -0.1874624E-003  -0.9372603E-003  -0.1896870E-003  -0.9016037E-003   0.1481429E-004   0.5454177E-005    0.000000         0.000000         0.000000         0.000000     
    20.00000        0.1259198E-002  -0.6026343E-002  -0.1925929E-003  -0.9627586E-003  -0.1946223E-003  -0.9268634E-003   0.1506594E-004   0.5439842E-005    0.000000         0.000000         0.000000         0.000000     
    20.10000        0.1239676E-002  -0.6123916E-002  -0.1978688E-003  -0.9888083E-003  -0.1996879E-003  -0.9526515E-003   0.1532442E-004   0.5425106E-005    0.000000         0.000000         0.000000         0.000000     
    20.20000        0.1219619E-002  -0.6224123E-002  -0.2032979E-003  -0.1015417E-002  -0.2048911E-003  -0.9789741E-003   0.1558988E-004   0.5409951E-005    0.000000         0.000000         0.000000         0.000000     
